t,handIndex,x_raw,y_raw,x_refined,y_refined,tapScore,tapSpeed,tapDist,tapLabel
113545.19999992847,0,0.21528908610343933,1.158257246017456,995.2418071108737,862.5035375773364,,,,
113619.29999995232,0,0.3149554133415222,1.0240037441253662,858.3416664040045,760.8873519953278,,,,
113665.69999992847,0,0.29949039220809937,0.9632969498634338,881.910777367317,719.7020945119202,,,,
113709.39999997616,0,0.321170836687088,0.7868620157241821,853.8517668744387,592.4927356039699,,,,
113754.29999995232,0,0.31138870120048523,0.7042348384857178,867.1449957359928,533.4338130782053,,,,
113800.19999992847,0,0.308456152677536,0.6758357286453247,870.5294047043294,512.783275325383,,,,
113844.39999997616,0,0.3400932252407074,0.5433872938156128,830.3618765585629,417.60117515366255,,,,
113886.5,0,0.35793715715408325,0.49873366951942444,806.7876771774611,385.03847068972794,,,,
113928.89999997616,0,0.36879342794418335,0.46711498498916626,793.4595449667195,362.59423034648876,,,,
113970.5,0,0.3801814317703247,0.4420844316482544,780.0122386070343,345.16395985563025,,,,
114014.89999997616,0,0.4007737636566162,0.40962523221969604,754.1447112503063,322.0317370277366,,,,
114069.10000002384,0,0.4109988808631897,0.4004995822906494,741.2633180948931,315.55845179108167,,,,
114069.10000002384,1,0.5504223704338074,0.2698696553707123,592.9328796092183,218.6921379392889,,,,
114133.10000002384,0,0.4131079316139221,0.410979300737381,740.5745368854723,323.95210663805267,,,,
114133.10000002384,1,0.6740342974662781,0.4518650770187378,423.5906260739624,354.6621321969012,,,,
114191.5,0,0.40538930892944336,0.448572039604187,750.7352651321894,351.1239083706433,,,,
114191.5,1,0.5738435983657837,0.44389766454696655,556.5948191808621,347.47144200000037,,,,
114248.69999992847,0,0.40463143587112427,0.4497339725494385,751.5911955636391,351.9182045494835,,,,
114248.69999992847,1,0.5758100152015686,0.4576098322868347,554.5380413845493,357.15619247162886,,,,
114305.39999997616,0,0.4038733243942261,0.44997724890708923,753.0088323567713,352.25609066344583,,,,
114305.39999997616,1,0.7116742730140686,0.4972097873687744,376.9549099186369,386.93274557311645,,,,
114366,0,0.40501028299331665,0.45215004682540894,752.1007150822081,354.0087694106811,,,,
114366,1,0.5530432462692261,0.40887248516082764,584.1376954127395,321.86919534466966,,,,
114439.60000002384,0,0.4049731492996216,0.4514080882072449,751.9738726479163,353.41584477939006,,,,
114439.60000002384,1,0.5503140687942505,0.3120838403701782,592.0851412265423,249.76376285122703,,,,
114495.29999995232,0,0.4066239297389984,0.4518233835697174,749.5956459241723,353.62325833022624,,,,
114495.29999995232,1,0.5620285868644714,0.3395423889160156,575.8204739185145,270.32474461801877,,,,
114551.60000002384,0,0.405754417181015,0.4506862163543701,750.9580954867399,352.89073360391205,,,,
114551.60000002384,1,0.572938859462738,0.3481580317020416,560.6289858462334,277.21167247693035,,,,
114605.5,0,0.4066295623779297,0.45245856046676636,749.393692500896,354.0115539840815,,,,
114605.5,1,0.5689438581466675,0.45351511240005493,564.4148356452575,353.7273712829867,,,,
114662.10000002384,0,0.4064252972602844,0.4542582631111145,749.832155303892,355.37014558906793,,,,
114662.10000002384,1,0.6839499473571777,0.5136675238609314,416.43445223891354,397.38365165274234,,,,
114717.10000002384,0,0.4067290425300598,0.4542006850242615,749.3046874484328,355.27958994475915,,,,
114717.10000002384,1,0.5679136514663696,0.4394846558570862,561.1644270305849,345.31647146156047,,,,
114773.5,0,0.40599721670150757,0.45464688539505005,750.1889999348731,355.582092925482,,,,
114773.5,1,0.5736984610557556,0.43430259823799133,556.6767883821459,340.6041760264308,,,,
114828.29999995232,0,0.4061968922615051,0.45597341656684875,749.8408907972399,356.50381525704466,,,,
114828.29999995232,1,0.5773378610610962,0.4631540775299072,552.661031184035,361.115032712595,,,,
114886.29999995232,0,0.40685033798217773,0.456701397895813,748.7818544062251,356.94623509802676,,,,
114886.29999995232,1,0.7517424821853638,0.4929065406322479,332.8507252339116,380.82647777158223,,,,
114941.60000002384,0,0.4071791172027588,0.4546736776828766,748.2179043228437,355.43268133007433,,,,
114941.60000002384,1,0.5701966285705566,0.44386011362075806,562.9542417478608,346.7087538094289,,,,
114998.10000002384,0,0.4064052104949951,0.4544380009174347,749.1727047913098,355.2494568700721,,,,
114998.10000002384,1,0.5716552734375,0.45066118240356445,561.3599709519473,351.47507091019366,,,,
115052.79999995232,0,0.4068436920642853,0.4547237753868103,748.3804140767877,355.3665931167163,,,,
115052.79999995232,1,0.5660569667816162,0.44316044449806213,567.5661768190486,346.5186895596241,,,,
115109.29999995232,0,0.40465620160102844,0.45740658044815063,751.5093864141793,357.4237484553081,,,,
115109.29999995232,1,0.5674605965614319,0.45089712738990784,566.0146251598227,351.979552709276,,,,
115163.39999997616,0,0.4043008089065552,0.455165296792984,751.9765595579099,355.81462109457567,,,,
115163.39999997616,1,0.5684727430343628,0.4402715563774109,564.8372955739545,344.27535790843996,,,,
115220.60000002384,0,0.40372025966644287,0.45706743001937866,752.7628713997502,357.20029562876994,,,,
115220.60000002384,1,0.576465368270874,0.4230673909187317,554.7355990596112,331.82902582363124,,,,
115276.10000002384,0,0.40359336137771606,0.4567500352859497,753.410843642478,357.1479524609918,,,,
115276.10000002384,1,0.5880582332611084,0.4135201871395111,538.8859406678642,325.40092014501437,,,,
115334.60000002384,0,0.40346479415893555,0.45735979080200195,753.9929080271162,357.7309652476679,,,,
115334.60000002384,1,0.7367940545082092,0.43349316716194153,349.1255983591017,339.5125803549497,,,,
115389.89999997616,0,0.4040122926235199,0.46072566509246826,753.5289806742105,360.2330463513931,,,,
115434.79999995232,0,0.40436482429504395,0.45995861291885376,753.2320683325395,359.7308391877174,,,,
115475.69999992847,0,0.40587252378463745,0.4598386585712433,751.2002315630731,359.6114885127532,,,,
115517.39999997616,0,0.40611645579338074,0.4575543999671936,750.6185999177965,357.87774853530453,,,,
115560.39999997616,0,0.40626397728919983,0.4582202434539795,750.8239514155988,358.4865319582891,,,,
115604.5,0,0.4055311381816864,0.4570730924606323,752.2223316419131,357.8040890102391,,,,
115649.39999997616,0,0.4066690504550934,0.45397233963012695,750.069168939007,355.351212545111,,,,
115691.89999997616,0,0.4066527187824249,0.46137735247612,750.2654613116594,360.7400555162962,,,,
115737,0,0.4040803015232086,0.4569642245769501,753.4142810341538,357.5157413986704,,,,
115780.39999997616,0,0.4055179953575134,0.4590538740158081,751.7334759919898,359.0721739021949,,,,
115822.79999995232,0,0.40616828203201294,0.4595053195953369,750.9156004999243,359.4018816280224,,,,
115866.69999992847,0,0.4065897464752197,0.4595958888530731,750.0714106934698,359.36724437886875,,,,
115910.60000002384,0,0.40619972348213196,0.4598144292831421,750.842825526345,359.6139531421703,,,,
115953.5,0,0.4062647819519043,0.4622027277946472,750.8855937770364,361.3739360757837,,,,
115997.60000002384,0,0.4065420627593994,0.4598194360733032,750.4190311512274,359.62220552418376,,,,
116042.60000002384,0,0.40739765763282776,0.45844972133636475,749.1916773964066,358.59304499175994,,,,
116085.39999997616,0,0.40752822160720825,0.4589240252971649,749.0883902506458,358.95537633783965,,,,
116128.79999995232,0,0.40754568576812744,0.45810118317604065,748.8552765293132,358.29354658587243,,,,
116171.19999992847,0,0.407857209444046,0.45827287435531616,748.4327932437942,358.4092427879639,,,,
116216.10000002384,0,0.4080674350261688,0.4588661193847656,747.8460722133558,358.72823618840954,,,,
116258.5,0,0.4075479507446289,0.4606354832649231,749.0942979516898,360.1977380961261,,,,
116301.39999997616,0,0.4094533324241638,0.4581281542778015,746.6084671422296,358.377213690667,,,,
116342.5,0,0.42191416025161743,0.46077150106430054,729.1156464646408,359.7308180241148,,,,
116385.29999995232,0,0.42915043234825134,0.4609301686286926,719.2146227541309,359.58928694197147,,,,
116429,0,0.43243837356567383,0.46140173077583313,714.8229325565766,359.85230760983865,,,,
116470.79999995232,0,0.43623024225234985,0.46394598484039307,710.5461906324977,361.92037663364516,,,,
116513.79999995232,0,0.44452255964279175,0.46117472648620605,699.2827303532072,359.6582059083987,,,,
116557.60000002384,0,0.44649332761764526,0.46186363697052,696.9630960512058,360.2395464464073,,,,
116600.29999995232,0,0.4492287039756775,0.4615660607814789,693.2989443234242,359.95695575921,,,,
116642.10000002384,0,0.45006752014160156,0.4624495506286621,692.4764799852657,360.6980031164373,,,,
116684.10000002384,0,0.45064517855644226,0.4582584500312805,691.5766233067347,357.613698251377,,,,
116728.19999992847,0,0.45207834243774414,0.45657622814178467,689.6205377564285,356.35119698070883,,,,
116771.29999995232,0,0.45149409770965576,0.45904073119163513,690.6005947316946,358.22303688016467,,,,
116813.10000002384,0,0.4526591897010803,0.4568024277687073,688.8415476220839,356.498966686409,,,,
116856.10000002384,0,0.45371612906455994,0.4558408260345459,687.3571685939742,355.7502414051535,,,,
116901.10000002384,0,0.45356854796409607,0.456844687461853,687.616512400272,356.50331126599315,,,,
116944.29999995232,0,0.4530407190322876,0.45785224437713623,688.2832989120252,357.2249650414723,,,,
116986.69999992847,0,0.4531709551811218,0.45661118626594543,688.2062505922561,356.3696809391667,,,,
117030.5,0,0.45195168256759644,0.45820391178131104,689.9676459030486,357.6008992601353,,,,
117073.79999995232,0,0.4520763158798218,0.4578767716884613,689.6932983138329,357.31725895046486,,,,
